PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,Nama Posyandu
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,TANDE TIMUR,AMANAH II
SULAWESI BARAT,MAJENE,MALUNDA,BAMBANGAN,POSY. BAMBANGAN
SULAWESI BARAT,MAJENE,MALUNDA,BAMBANGAN,POSY. BATUSUSUN
SULAWESI BARAT,MAJENE,MALUNDA,BAMBANGAN,POSY. LEMO
SULAWESI BARAT,MAJENE,MALUNDA,BAMBANGAN,POSY. TABOLO
SULAWESI BARAT,MAJENE,MALUNDA,BAMBANGAN,POSY. RATTE PUNAGA
SULAWESI BARAT,MAJENE,MALUNDA,KAYUANGIN,KAYUANGIN
SULAWESI BARAT,MAJENE,MALUNDA,KAYUANGIN,PETTABEANG BARAT
SULAWESI BARAT,MAJENE,MALUNDA,KAYUANGIN,PETTABEANG TIMUR
SULAWESI BARAT,MAJENE,MALUNDA,LAMUNGANG BATU,POSY. PAO-PAO
SULAWESI BARAT,MAJENE,MALUNDA,LAMUNGANG BATU,POSY. KAYU COLO
SULAWESI BARAT,MAJENE,MALUNDA,LAMUNGANG BATU,POSY. KALORANG
SULAWESI BARAT,MAJENE,MALUNDA,LAMUNGANG BATU,POSY. TAMMAENDE
SULAWESI BARAT,MAJENE,MALUNDA,LOMBANG,POSY. LOMBANG
SULAWESI BARAT,MAJENE,MALUNDA,LOMBANG,POSY. BUTTU TALA
SULAWESI BARAT,MAJENE,MALUNDA,LOMBANG TIMUR,POSY. PANAPPO
SULAWESI BARAT,MAJENE,MALUNDA,LOMBANG TIMUR,POSY. PASSORONGAN
SULAWESI BARAT,MAJENE,MALUNDA,LOMBANG TIMUR,POSY. PEBULAHANGAN
SULAWESI BARAT,MAJENE,MALUNDA,LOMBANG TIMUR,POSY. SALUTAKKAAN
SULAWESI BARAT,MAJENE,MALUNDA,LOMBONG,POSY. TOPPO
SULAWESI BARAT,MAJENE,MALUNDA,LOMBONG,POSY. LOMBONG
SULAWESI BARAT,MAJENE,MALUNDA,LOMBONG,POSY. DEKING 1
SULAWESI BARAT,MAJENE,MALUNDA,LOMBONG,POSY. DEKING 2
SULAWESI BARAT,MAJENE,MALUNDA,LOMBONG TIMUR,POSY. MOSSO
SULAWESI BARAT,MAJENE,MALUNDA,LOMBONG TIMUR,POSY. KARALEMBNAG
SULAWESI BARAT,MAJENE,MALUNDA,MALIAYA,POSY. MALIAYA
SULAWESI BARAT,MAJENE,MALUNDA,MALIAYA,POSY. JOLENG MEA
SULAWESI BARAT,MAJENE,MALUNDA,MALIAYA,POSY. MALIAYA UTARA
SULAWESI BARAT,MAJENE,MALUNDA,MALUNDA,POSY. SASENDE
SULAWESI BARAT,MAJENE,MALUNDA,MALUNDA,POSY. BANUA
SULAWESI BARAT,MAJENE,MALUNDA,MALUNDA,KAREWACA
SULAWESI BARAT,MAJENE,MALUNDA,MEKKATTA,POSY. RUI/ AHOLEANG
SULAWESI BARAT,MAJENE,MALUNDA,MEKKATTA,POSY. BAWAPPU
SULAWESI BARAT,MAJENE,MALUNDA,MEKKATTA,POSY. MEKKATTA
SULAWESI BARAT,MAJENE,MALUNDA,MEKKATTA,POSY. SAMALIO
SULAWESI BARAT,MAJENE,MALUNDA,MEKKATTA,POSY. TAMMAINDUNG
SULAWESI BARAT,MAJENE,MALUNDA,MEKKATTA SELATAN,POSY. TANISI
SULAWESI BARAT,MAJENE,MALUNDA,MEKKATTA SELATAN,POSY. TANISIS SELATAN
SULAWESI BARAT,MAJENE,MALUNDA,MEKKATTA SELATAN,POSY. MALATEWA
SULAWESI BARAT,MAJENE,MALUNDA,MEKKATTA SELATAN,POSY. PAGA
SULAWESI BARAT,MAJENE,MALUNDA,SALUTAHONGAN,POSY. SALUTAHONGAN
SULAWESI BARAT,MAJENE,MALUNDA,SALUTAHONGAN,POSY. SALUBIRU
SULAWESI BARAT,MAJENE,PAMBOANG,ADOLANG,BURA'BEAU
SULAWESI BARAT,MAJENE,PAMBOANG,ADOLANG,BURA' COKLAT
SULAWESI BARAT,MAJENE,PAMBOANG,ADOLANG,BURA' ASSO
SULAWESI BARAT,MAJENE,PAMBOANG,ADOLANG DHUA,BURA' KOPI
SULAWESI BARAT,MAJENE,PAMBOANG,ADOLANG DHUA,BURA' LEMO
SULAWESI BARAT,MAJENE,PAMBOANG,ADOLANG DHUA,BURA' JAMBU MENTE
SULAWESI BARAT,MAJENE,PAMBOANG,BABABULO,BUNGA ROSI
SULAWESI BARAT,MAJENE,PAMBOANG,BABABULO,MENUJU SEHAT
SULAWESI BARAT,MAJENE,PAMBOANG,BABABULO,HARAPAN I
SULAWESI BARAT,MAJENE,PAMBOANG,BABABULO,MEKAR SARI
SULAWESI BARAT,MAJENE,PAMBOANG,BABABULO UTARA,RAFLESIA
SULAWESI BARAT,MAJENE,PAMBOANG,BABABULO UTARA,KAMBOJA
SULAWESI BARAT,MAJENE,PAMBOANG,BABABULO UTARA,PURNAMA
SULAWESI BARAT,MAJENE,PAMBOANG,BABABULO UTARA,KENANGA
SULAWESI BARAT,MAJENE,PAMBOANG,BALOMBONG,ARIANGO I
SULAWESI BARAT,MAJENE,PAMBOANG,BALOMBONG,MELATI I
SULAWESI BARAT,MAJENE,PAMBOANG,BALOMBONG,MELATI III
SULAWESI BARAT,MAJENE,PAMBOANG,BANUA ADOLANG,BUTTU PAUNG
SULAWESI BARAT,MAJENE,PAMBOANG,BANUA ADOLANG,BURA'BEAU II
SULAWESI BARAT,MAJENE,PAMBOANG,BANUA ADOLANG,BURA' LASSE
SULAWESI BARAT,MAJENE,PAMBOANG,BANUA ADOLANG,BURA'BEAU II
SULAWESI BARAT,MAJENE,PAMBOANG,BANUA ADOLANG,BURA' LAMPOKO
SULAWESI BARAT,MAJENE,PAMBOANG,BETTENG,BURA'TOLLEANG
SULAWESI BARAT,MAJENE,PAMBOANG,BETTENG,SENTOSA
SULAWESI BARAT,MAJENE,PAMBOANG,BETTENG,RANGGANG BITTOENG
SULAWESI BARAT,MAJENE,PAMBOANG,BETTENG,GALUNG PONDANG
SULAWESI BARAT,MAJENE,PAMBOANG,BONDE,AWAL BAHAGIA III
SULAWESI BARAT,MAJENE,PAMBOANG,BONDE,AWAL BAHAGIA IV
SULAWESI BARAT,MAJENE,PAMBOANG,BONDE,AWAL BAHAGIA I
SULAWESI BARAT,MAJENE,PAMBOANG,BONDE,AWAL BAHAGIA II
SULAWESI BARAT,MAJENE,PAMBOANG,BONDE UTARA,BAHAGIA I
SULAWESI BARAT,MAJENE,PAMBOANG,BONDE UTARA,BAHAGIA II
SULAWESI BARAT,MAJENE,PAMBOANG,BONDE UTARA,BAHAGIA V
SULAWESI BARAT,MAJENE,PAMBOANG,BONDE UTARA,BAHAGIA IV
SULAWESI BARAT,MAJENE,PAMBOANG,BONDE UTARA,BAHAGIA III
SULAWESI BARAT,MAJENE,PAMBOANG,BUTTU PAMBOANG,MELATI BTP
SULAWESI BARAT,MAJENE,PAMBOANG,BUTTU PAMBOANG,SIPAKAINGA I
SULAWESI BARAT,MAJENE,PAMBOANG,BUTTU PAMBOANG,TAMMALILU I
SULAWESI BARAT,MAJENE,PAMBOANG,BUTTU PAMBOANG,SIAMASEI
SULAWESI BARAT,MAJENE,PAMBOANG,LALAMPANUA,SEJAHTERA II
SULAWESI BARAT,MAJENE,PAMBOANG,LALAMPANUA,SEJAHTERA I
SULAWESI BARAT,MAJENE,PAMBOANG,LALAMPANUA,MEKAR
SULAWESI BARAT,MAJENE,PAMBOANG,LALAMPANUA,MAWAR
SULAWESI BARAT,MAJENE,PAMBOANG,PESULOANG,PONDANG BALADA I
SULAWESI BARAT,MAJENE,PAMBOANG,PESULOANG,SIASAYANGI
SULAWESI BARAT,MAJENE,PAMBOANG,SIMBANG,SEJATI
SULAWESI BARAT,MAJENE,PAMBOANG,SIMBANG,TAMMALANRE
SULAWESI BARAT,MAJENE,PAMBOANG,SIMBANG,SIARENDENGAN
SULAWESI BARAT,MAJENE,PAMBOANG,SIMBANG,TAMMALILU II
SULAWESI BARAT,MAJENE,PAMBOANG,SIRINDU,SIPATUO I
SULAWESI BARAT,MAJENE,PAMBOANG,SIRINDU,MELATI II
SULAWESI BARAT,MAJENE,PAMBOANG,SIRINDU,ARIANGO II
SULAWESI BARAT,MAJENE,PAMBOANG,SIRINDU,PONDANG BALADA II
SULAWESI BARAT,MAJENE,PAMBOANG,SIRINDU,SIPATUO II
SULAWESI BARAT,MAJENE,PAMBOANG,TINAMBUNG,DELIMA
SULAWESI BARAT,MAJENE,PAMBOANG,TINAMBUNG,TAMMALASSU I
SULAWESI BARAT,MAJENE,PAMBOANG,TINAMBUNG,BUNGA ANGREK I
SULAWESI BARAT,MAJENE,PAMBOANG,TINAMBUNG,TAMMALASSU II
SULAWESI BARAT,MAJENE,PAMBOANG,TINAMBUNG,BUNGA ANGREK II
SULAWESI BARAT,MAJENE,SENDANA,BANUA SENDANA,BERINGIN (BANUA)
SULAWESI BARAT,MAJENE,SENDANA,BANUA SENDANA,TUNAS MUDA 1
SULAWESI BARAT,MAJENE,SENDANA,BANUA SENDANA,TUNAS MUDA 2
SULAWESI BARAT,MAJENE,SENDANA,BINANGA,BURA SENDANA
SULAWESI BARAT,MAJENE,SENDANA,BINANGA,CEMPAKA
SULAWESI BARAT,MAJENE,SENDANA,BUKIT SAMANG,BATU SAMBUA
SULAWESI BARAT,MAJENE,SENDANA,BUKIT SAMANG,SAMUSENGANA
SULAWESI BARAT,MAJENE,SENDANA,LALATEDZONG,NIRMALASARI
SULAWESI BARAT,MAJENE,SENDANA,LALATEDZONG,UJUNG PARAPPE
SULAWESI BARAT,MAJENE,SENDANA,LEPPANGANG,BUNGA KEMIRI
SULAWESI BARAT,MAJENE,SENDANA,LEPPANGANG,BURA APAS
SULAWESI BARAT,MAJENE,SENDANA,LIMBORO RAMBU-RAMBU,CEMERLANG
SULAWESI BARAT,MAJENE,SENDANA,LIMBUA,SISAYANNI
SULAWESI BARAT,MAJENE,SENDANA,LIMBUA,ALLO SIMBAR
SULAWESI BARAT,MAJENE,SENDANA,LIMBUA,SAMARATANNA (LAKKADING)
SULAWESI BARAT,MAJENE,SENDANA,MOSSO,SIRANNUANG 1
SULAWESI BARAT,MAJENE,SENDANA,MOSSO,SIRANNUANG 2
SULAWESI BARAT,MAJENE,SENDANA,MOSSO,SIRANNUANG 3
SULAWESI BARAT,MAJENE,SENDANA,MOSSO,BAHARI
SULAWESI BARAT,MAJENE,SENDANA,MOSSO,ZAKINAH (SOMBA UTARA
SULAWESI BARAT,MAJENE,SENDANA,MOSSO,AL-IKHLAS (SOMBA TENGGARA)
SULAWESI BARAT,MAJENE,SENDANA,MOSSO DHUA,MERAK(KP. LELE)
SULAWESI BARAT,MAJENE,SENDANA,MOSSO DHUA,BATU MARA'DIA
SULAWESI BARAT,MAJENE,SENDANA,MOSSO DHUA,MERPATI
SULAWESI BARAT,MAJENE,SENDANA,MOSSO DHUA,BURA' BEAU
SULAWESI BARAT,MAJENE,SENDANA,MOSSO DHUA,SIPATUO
SULAWESI BARAT,MAJENE,SENDANA,PAMINGGALAN,MAWAR
SULAWESI BARAT,MAJENE,SENDANA,PUNDAU,MAYANG I
SULAWESI BARAT,MAJENE,SENDANA,PUNDAU,MAYANG II
SULAWESI BARAT,MAJENE,SENDANA,PUTTADA,BUNGA TANJUNG
SULAWESI BARAT,MAJENE,SENDANA,PUTTADA,BATU LAPPA
SULAWESI BARAT,MAJENE,SENDANA,PUTTADA,BURA' SENDANA
SULAWESI BARAT,MAJENE,SENDANA,SENDANA,NIRWANA 1
SULAWESI BARAT,MAJENE,SENDANA,SENDANA,NIRWANA 2
SULAWESI BARAT,MAJENE,SENDANA,SENDANA,BURA JOLENG
SULAWESI BARAT,MAJENE,SENDANA,TALLUBANUA,MAWAR (PONIANG SELATAN)
SULAWESI BARAT,MAJENE,SENDANA,TALLUBANUA,MEKAR (PONIANG UTARA)
SULAWESI BARAT,MAJENE,SENDANA,TALLUBANUA,MELATI (CAMBA-CAMBA)
SULAWESI BARAT,MAJENE,SENDANA,TALLUBANUA,NURI/FLAMBOYAN
SULAWESI BARAT,MAJENE,SENDANA,TALLUBANUA UTARA,BERINGIN
SULAWESI BARAT,MAJENE,SENDANA,TALLUBANUA UTARA,SERAYU (PALLANG-PALLANG)
SULAWESI BARAT,MAJENE,SENDANA,TOTOLISI SENDANA,BURA LANDI
SULAWESI BARAT,MAJENE,SENDANA,TOTOLISI SENDANA,MELATI
SULAWESI BARAT,MAJENE,SENDANA,TOTOLISI SENDANA,MAWAR
SULAWESI BARAT,MAJENE,SENDANA,TOTOLISI SENDANA,BURA PARAPPE
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,AWO,AWO
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,AWO,TIPPULU BARAT
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,AWO,TIPPULU INDUK
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,AWO,TIPPULU TIMUR
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,AWO,RATTE LEMO
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,AWO,BATU SURE
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,AWO,RATTE PADANG
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,AWO,RATTE TARING
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,AWO,BUSSU
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,MANYAMBA,MANYAMBA BARAT
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,MANYAMBA,MANYAMBA INDUK
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,MANYAMBA,MANYAMBA TENGAH
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,SEPPONG,SEPPONG TIMUR
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,SEPPONG,SEPPONG
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,SEPPONG,PUMMACINA
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,SEPPONG,PUNAGA
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,SEPPONG,TALONGGA
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TALLAMBALAO,RATTE BILA
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TALLAMBALAO,BATU SAMBUA
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TALLAMBALAO,PANGALEROANG
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TALLAMBALAO,PADANGAN
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TAMMERODO,PELATOANG
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TAMMERODO,PELATOANG SELATAN
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TAMMERODO,KARONDONGAN
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TAMMERODO,KAREMA
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TAMMERODO,KAREMA SELATAN
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TAMMERODO,UJUNG BARU
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TAMMERODO UTARA,LEBA-LEBA
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TAMMERODO UTARA,TAMMERODO
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TAMMERODO UTARA,LOMBONGAN
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TAMMERODO UTARA,PANDE- PANDENG
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TAMMERODO UTARA,CAMBA- CAMBA
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,ULIDANG,WAIGAMO
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,ULIDANG,PETUDANG
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,ULIDANG,LABUANG
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,ULIDANG,ULIDANG
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,ULIDANG,SABURRE
SULAWESI BARAT,MAJENE,TUBO SENDANA,BONDE BONDE,LAMBANGAN
SULAWESI BARAT,MAJENE,TUBO SENDANA,BONDE BONDE,RAWA-RAWANG
SULAWESI BARAT,MAJENE,TUBO SENDANA,BONDE BONDE,BONDE 2
SULAWESI BARAT,MAJENE,TUBO SENDANA,ONANG,PARABAYA
SULAWESI BARAT,MAJENE,TUBO SENDANA,ONANG,BT. LOPI
SULAWESI BARAT,MAJENE,TUBO SENDANA,ONANG,BATUTAKU
SULAWESI BARAT,MAJENE,TUBO SENDANA,ONANG,BATUTAKU UDZUNG
SULAWESI BARAT,MAJENE,TUBO SENDANA,ONANG,BT. METTO'DO
SULAWESI BARAT,MAJENE,TUBO SENDANA,ONANG,PANGOPPO
SULAWESI BARAT,MAJENE,TUBO SENDANA,ONANG,SUMAKUYU
SULAWESI BARAT,MAJENE,TUBO SENDANA,ONANG UTARA,ONANG
SULAWESI BARAT,MAJENE,TUBO SENDANA,ONANG UTARA,BELALANG
SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO,TARAWEKI
SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO,SALUBULO
SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO,KULASI
SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO,TARUPA
SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO,LOMBO'NA
SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO,TATAKKO
SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO POANG,TUBO MASIGI
SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO POANG,TUBO
SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO SELATAN,BATURORO
SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO SELATAN,PATTALASSANG
SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO TENGAH,SETIA BAKTI
SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO TENGAH,TERATAI
SULAWESI BARAT,MAJENE,ULUMANDA,KABIRAAN,KABIRAAN
SULAWESI BARAT,MAJENE,ULUMANDA,KABIRAAN,BABASONDONG
SULAWESI BARAT,MAJENE,ULUMANDA,KABIRAAN,TAMERIMBI
SULAWESI BARAT,MAJENE,ULUMANDA,KABIRAAN,KAMPUNG BARU
SULAWESI BARAT,MAJENE,ULUMANDA,PANGGALO,PALEDOANG
SULAWESI BARAT,MAJENE,ULUMANDA,PANGGALO,KOLEHALANG
SULAWESI BARAT,MAJENE,ULUMANDA,POPENGA,POPENGA
SULAWESI BARAT,MAJENE,ULUMANDA,POPENGA,UREKANG
SULAWESI BARAT,MAJENE,ULUMANDA,SALUTAMBUNG,BURA LASSA
SULAWESI BARAT,MAJENE,ULUMANDA,SALUTAMBUNG,ANUGRAH
SULAWESI BARAT,MAJENE,ULUMANDA,SALUTAMBUNG,MELATI
SULAWESI BARAT,MAJENE,ULUMANDA,SALUTAMBUNG,MEKAR
SULAWESI BARAT,MAJENE,ULUMANDA,SALUTAMBUNG,SIPASADAR
SULAWESI BARAT,MAJENE,ULUMANDA,SAMBABO,BURA SAPIRI
SULAWESI BARAT,MAJENE,ULUMANDA,SAMBABO,BURA VANILI
SULAWESI BARAT,MAJENE,ULUMANDA,SAMBABO,TAROBA INDAH
SULAWESI BARAT,MAJENE,ULUMANDA,SAMBABO,SEKAR SARI
SULAWESI BARAT,MAJENE,ULUMANDA,SULAI,BUJUNG NIPAE
SULAWESI BARAT,MAJENE,ULUMANDA,SULAI,SALUPANIKI
SULAWESI BARAT,MAJENE,ULUMANDA,SULAI,PUNCAK INDAH
SULAWESI BARAT,MAJENE,ULUMANDA,SULAI,BUKIT TINGGI
SULAWESI BARAT,MAJENE,ULUMANDA,SULAI,SULAI LALANG
SULAWESI BARAT,MAJENE,ULUMANDA,SULAI,BERSEHATI
SULAWESI BARAT,MAJENE,ULUMANDA,TANDEALLO,TAUKONG
SULAWESI BARAT,MAJENE,ULUMANDA,TANDEALLO,PAKU
